V1,par,SE
NORW.a,1,
NORW.b1,-5.467,0.051
NORW.b2,-2.776,0.019
NORW.b3,-0.681,0.014
NORW.b4,1.266,0.015
NORW.b5,3.613,0.024
NORO.a,1,
NORO.b1,-6.112,0.076
NORO.b2,-3.515,0.024
NORO.b3,-1.494,0.016
NORO.b4,0.321,0.014
NORO.b5,2.652,0.018
ENGW.a,1,
ENGW.b1,-4.823,0.041
ENGW.b2,-2.704,0.02
ENGW.b3,-0.892,0.015
ENGW.b4,1.021,0.014
ENGW.b5,3.153,0.021
ENGO.a,1,
ENGO.b1,-5.321,0.055
ENGO.b2,-3.321,0.024
ENGO.b3,-1.632,0.016
ENGO.b4,0.387,0.014
ENGO.b5,2.642,0.018
MATH.a,1,
MATH.b1,-4.797,0.035
MATH.b2,-1.752,0.016
MATH.b3,-0.135,0.015
MATH.b4,1.162,0.015
MATH.b5,3.044,0.021
NATS.a,1,
NATS.b1,-5.486,0.052
NATS.b2,-2.921,0.021
NATS.b3,-1.121,0.015
NATS.b4,0.413,0.014
NATS.b5,2.461,0.017
SOCS.a,1,
SOCS.b1,-5.846,0.064
SOCS.b2,-3.344,0.023
SOCS.b3,-1.516,0.016
SOCS.b4,0.147,0.014
SOCS.b5,2.364,0.017
RELI.a,1,
RELI.b1,-5.587,0.063
RELI.b2,-3.177,0.024
RELI.b3,-1.45,0.016
RELI.b4,0.233,0.014
RELI.b5,2.357,0.017
MUSI.a,1,
MUSI.b1,-6.11,0.099
MUSI.b2,-4.08,0.033
MUSI.b3,-2.319,0.018
MUSI.b4,-0.11,0.014
MUSI.b5,2.589,0.017
HAND.a,1,
HAND.b1,-6.238,0.112
HAND.b2,-4.417,0.036
HAND.b3,-2.382,0.018
HAND.b4,-0.057,0.013
HAND.b5,2.716,0.017
PHED.a,1,
PHED.b1,-6.022,0.11
PHED.b2,-4.43,0.04
PHED.b3,-2.882,0.02
PHED.b4,-0.634,0.014
PHED.b5,2.304,0.016
FOOD.a,1,
FOOD.b1,-7.58,0.257
FOOD.b2,-5.217,0.048
FOOD.b3,-2.632,0.018
FOOD.b4,-0.242,0.013
FOOD.b5,2.517,0.017
MAT0010.a,1,
MAT0010.b1,-4.863,0.074
MAT0010.b2,-1.759,0.03
MAT0010.b3,-0.063,0.025
MAT0010.b4,1.57,0.028
MAT0010.b5,3.464,0.044
ENG0012.a,1,
ENG0012.b1,-4.582,0.077
ENG0012.b2,-2.413,0.034
ENG0012.b3,-0.326,0.025
ENG0012.b4,1.526,0.027
ENG0012.b5,3.355,0.044
NOR0214.a,1,
NOR0214.b1,-4.725,0.074
NOR0214.b2,-1.867,0.03
NOR0214.b3,0.558,0.025
NOR0214.b4,2.494,0.034
NOR0214.b5,4.344,0.069
ENG0013.a,1,
ENG0013.b1,-5.703,0.186
ENG0013.b2,-3.812,0.067
ENG0013.b3,-1.849,0.038
ENG0013.b4,0.04,0.032
ENG0013.b5,1.211,0.034
NOR0216.a,1,
NOR0216.b1,-6.006,0.186
NOR0216.b2,-3.516,0.059
NOR0216.b3,-1.481,0.037
NOR0216.b4,0.143,0.033
NOR0216.b5,1.228,0.034
GroupPars.MEAN_1,0,
GroupPars.COV_11,3.145,0.021
