-5.218,-2.6436,-0.6429,1.2099,3.4457
-5.8033,-3.3415,-1.4195,0.3073,2.5294
-4.6195,-2.5833,-0.8512,0.9756,3.0026
-5.096,-3.1809,-1.5641,0.3703,2.5184
-4.6058,-1.6585,-0.1183,1.1026,2.8915
-5.2467,-2.7897,-1.0655,0.3917,2.3414
-5.5854,-3.1945,-1.4448,0.1381,2.2528
-5.3892,-3.0394,-1.3823,0.2233,2.241
-5.9408,-3.9495,-2.2424,-0.1124,2.4705
-6.0625,-4.3183,-2.3152,-0.0674,2.5941
-5.9065,-4.342,-2.8267,-0.6411,2.1922
-7.4315,-5.1079,-2.5547,-0.2396,2.4046
-4.6581,-1.6913,-0.0563,1.4828,3.2704
-4.213,-2.2839,-0.3045,1.472,3.2288
-4.4214,-1.7586,0.5397,2.3604,4.1304
-5.2963,-3.5867,-1.7082,0.1086,1.1803
-5.7538,-3.3263,-1.4006,0.1632,1.1555
