1bc,5,5,4,4,2,2,5,5,3,3,1,1,1,1,2,3,1.5,1.5,1,1,1,1,0.5,0,1.5,2,2.5,3,1,2,4,0?,0,6,16,16
1bc,5,5,5,5,2,2,1,1,2,2,0.5,1,0,0,3,3,3.5,4,1.5,1,4,4,0,0,2,2,2,2,2,2,0,0,4,6,16,16
1bc,5,5,5,5,2.5,2,1,1,1.5,2,0,0,0,0,2,3,3,2,1,1,1,1,0,0,2,2,1.5,3,1,2,0,0,4.5,5,11,11
1bc,5,5,5,5,3,3,0,0,2,2,0.5,1,0,0,3,3,3.5,3.5,2,2,4,5,4,4,1.5,1.5,1.5,1.5,0,0,0,0,4.5,5,13,13
1bc,5,5,5,5,3,3,5.5,6,4,4,1,1,4,5,7,7,4,4,3.5,4,6,6,5,5,2,2,3,3,2,6,7,2,6,6,17,17
1bc,4.5,4.5,5,5,2,2,0,0,1,1,0,0,4,4,4,4,3.5,3.5,3,3,1,1,0,0,1.5,1.5,3,3,5.5,5.5,0,0,6,6,14,14
1bc,4.5,4.5,5,5,3.5,4,6.5,6,1.5,1.5,1,1,5,5,6,6,4,4,3,3,4,4,4,5,2,2,2,2,4,4,2,2,6,6,16,16
1bc,5,5,4,4,3,3,1,0,4,4,0,0,3.5,4,1,2,2.75,2.5,0.5,1,2,2,0,0,1.5,1.5,0,0,3,3,0,0,0,0,16,16
1bc,5,5,4,4,1.5,1,1,1,3,3,1,1,0.5,0,2,2,0,0,1.5,2.5,1,1,0,0,1.5,1.5,1.5,2,1.5,2,0,0,3,3,11,11
1bc,4.75,4.5,4.5,4,3,3,0,0,2,2,1,1,2,2,1.5,2,4,4,2,3,2,2,1,1,2,2,1.5,1.5,2,2,1.5,1.5,0,0,14,14
1bc,4.75,4.5,5,5,1,3,0,0,2,2,0,0,1,0.5,2,2,3,3,2,3,1.5,1.5,0.5,0.5,2,2,1.5,1,0,0,0,0,0,0,10,10
1bc,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
1bc,4.5,4.5,4.5,5,1,2,4,4,4,4,1,2,3,3,4,4,3,3,3,3,2.5,2,0.5,0.5,2,2,3,3,2,2,4.5,0,0,4,17,17
1bc,2,2.5,1,1,1,3,0.5,0,0.5,1,0.5,1,0,0,0,0,0,0,1,2,0,0.5,0,0,2,2,3,3,1,2,0,0,4.5,5,15,15
1bc,0,0.5,0,1,0,,0,,0,,0,0.5,0,,0,,0,,0,1,0,,0,,0,,0,,0,0.5,0,,0,,10,10
1bc,5,5,4.5,5,2,2,7,7,3,3,1,1,5,5,5,5,3.5,4,2,2,3,3,4,4,1.5,1.5,1.5,1.5,3,3,1,1,6,6,20,20
