1eg,1.5,1.25,0,0,3,3,3,2.5,3.5,2,1,1,4.5,2,2.5,3,1,0.75,3,2.5,4,2,2,1.5,1.5,1.25,2,2,0.5,0,0,0,4.5,4,12,12
1eg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11
1eg,5,5,4,5,2.5,2.5,0,1.5,4,3,0.5,1,4,4,6,5,4,3.5,4,3.5,5,4.5,2.5,1,2,2,3,2,2,3,0,0,5.5,4.5,18,18
1eg,4.5,4.25,2.5,3.5,2.5,1.5,1,1.5,4,3,0.5,1,4,1.5,5,3,4,3,3,3.5,5.5,3,2.5,0,2,1.5,3,1.5,2,2,0,0,5.5,4,18,15
1eg,5,5,4,4,3,1,1,1,3.5,3,1.5,2,4,3,6,4,4,3.25,3,2.5,4,1.5,3.5,1,2,2,3,2,2,2.5,0,0,6,4.5,14,14
1eg,5,5,5,5,3,3,3,2,3.5,3.5,0,0,3,2,3,3.5,2.5,2.25,5,2.5,2,2.5,0,0,2,2,3,1.5,4,2,0,0,1.5,1.5,17,17
1eg,2,1,0,0,0,0,0,0,2,0.5,0,0,0,0,4,4,0,0,3,2.5,0,0.5,1.5,0,0,0.5,0,0,0,0,0,0,0,0,10,10
1eg,4,5,5,5,2,1,3,2.5,3.5,3,0.5,1,3,2,6,3,3.5,3,4,5,4.5,4.5,3,1.5,1.5,2,3,3,2,1,2,2,0,5,18,18
1eg,5,5,5,5,2.5,2,4.5,2.5,4,4,1.5,1.5,2,0,7,5,4,4,5,4,5,4,4.5,4,2,2,3,2,3,2.5,2,2,4,5,19,19
1eg,5,5,5,5,3,3,5,2,4,4,1,1.5,2,1,5,6.5,4,4,5,3.5,3.5,4,3.5,3,2,2,3,3,7,5.5,2,2,4.5,4,19,19
1eg,5,5,5,4.5,2.5,2,2,2,2.5,3,0,0,0,0,8,4,4,3.5,4,4.5,5,5,0,0,1.5,1.5,3,1.5,1.5,2,2,2,3,3.5,15,15
1eg,4.5,4.25,4,3.5,2.5,3,4.5,3,3,2,1,2,0,0.5,3,3,4,4,4,2.5,5,3.5,0,0,2,1.5,3,1.5,0,2.5,0,0,4.5,4,14,14
1eg,4,3.75,5,2.5,1,0.5,2,1.5,3.5,2.5,1,1,4,2,6,4,0,0,4,2,0,0,0,0,1.5,1.5,3,2,2,1,0,0,4.5,4,16,16
1eg,3,2.5,1.5,1,3,2,4,2,2,1.5,1,1,0,0,5,4,0.5,0.5,5,3.5,2,2.5,2,1,1.5,1.5,2,1.5,2,2,0,0,1,1,15,15
1eg,5,5,4,5,2.5,3,2,2,3,2,0,1,5,3,6,3,4,4,4,3,2.5,2,2,1,2,2,3,3,2.5,1,0,0,4,5,17,17
1eg,5,5,5,5,2.5,2,3,2,4,3,0.5,1,6,4.5,7,4,4,4,5,3,6,5,5,3,2,2,3,1.5,7,7,0,0,4,5,20,20
