2ab,4,4,3,3,3,3,5,4,4,4,1,1,5,5,1,1,3,3,4,3,0.5,0.5,0,0,2,2,1,1,1,1,1,1,6,6,17,17
2ab,4.5,4,4,4,3,3,6,4,4,4,2,2,5,5,6,6,4,4,4,4,5,5,5,5,2,2,3,3,6,6,2,2,6,6,20,20
2ab,5,5,4,4,2,2,1,1,3,3,1,1,4,4,6,6,3.5,3.5,5,5,5,5,0,0,2,2,3,3,5,5,0,0,5,5,19,19
2ab,5,5,2,2,1,1,1,1,3,3,2,2,4,4,2,2,3,3,3,3,4,4,0,0,1,1,1,1,4,4,0,0,0,0,17,17
2ab,5,5,4,3,3,3,5,5,4,3,0,0,4,4,6,4,4,4,4,1,4,3,5,5,2,2,3,3,5,3,2,2,6,6,18,18
2ab,2,2,3.5,1,3,3,4,2,3,2,2,2,4,4,3,3,4,1,5,2,4,2,3,3,1,1,3,3,5,2,0,0,5,3,13,13
2ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
2ab,5,5,4,4,3,3,6,4,4,2,0,0,5,5,5.5,4,4,2,5,3,5,3,5,5,2,2,3,3,4,2,2,2,6,6,19,19
2ab,3,3,1,1,1,1,0,0,3,3,1,1,1,1,0,0,3,3,3,3,1,1,0,0,2,2,1,1,1,1,0,0,6,6,11,11
2ab,5,5,3,3,2,2,2,2,3,3,2,2,2,2,4,4,4,4,5,5,5,5,4,4,2,2,3,3,4,4,0,0,6,6,13,13
2ab,5,5,3.5,3.5,3,3,2,2,2,2,1,1,4,4,5,5,3,3,3,3,4,4,0,0,2,2,2,2,4,4,2,2,6,6,17,17
2ab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ab,5,5,3,3,3,3,6,6,3,3,2,2,4,4,5,5,4,4,4.5,4.5,4,4,3.5,3.5,2,2,3,3,5,5,0,0,6,6,19,19
2ab,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,6,6
2ab,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,12,12
2ab,4,4,3,3,3,3,0,0,1,1,0,0,0,0,1,1,0.5,0.5,1,1,1,1,0,0,2,2,0.5,0.5,1,1,0,0,0,0,10,10
