2ac,3,2,4.5,4,3,3,1.5,2,3.5,3,0,1,2,3,5,5,4,4,3,4,2,1,0,0,2,3,1.5,2,6,5,0,0,6,6,13,13
2ac,5,5,4.5,4,3,3,7,6,3.5,4,1,2,3,1,5,6,4,4,4,2,5.5,6,5,4,2,2,1.5,2,5,4,2,3,6,5,19,19
2ac,4,3,1,2,2.5,3,1,2,3.5,3,1.75,2,3,2,8,7,4,3,2,3,3,3,2,3,"2 (1,5)",2,2,2,3,2,0.5,1,1.5,2,13,13
2ac,4,4,4,4,3,3,0,0,3.5,3,0,0,2,3,6,5,0.5,1,4,4,2.5,2,3,3,"1,5 (2)",1,1.5,2,1,1,0,0,0,0,15,15
2ac,5,4,5,4,3,2,3,2,3.5,4,0,1,3,2,6.5,7,4,4,4,3,6,5,3,4,2,2,1.5,2,2,3,0,0,3.75,3,15,15
2ac,3.5,2.5,3.5,1,3,3,0,0,3.5,3,1,2,3,4,3.5,4,3,2,3,4,1.5,3,3,3,2,1,1.5,2,2,3,2,1,4.5,3,11,11
2ac,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2ac,4,4,4,5,3,3,4,5,3,2,0.5,1,0,0,7,6,4,4,4,4,4.5,4,5,4,2,2,1.5,2,4,5,2,2,6,6,17,17
2ac,5,4,5,4,3,3,1.5,3,3,3,0.5,1,1,3,8,6,4,4,5,4,2.5,2,0,0,2,2,3,3,3,4,0,0,6,5,17,17
2ac,4.5,5,3.5,4,3,3,5,5,4,4,0,1,1,3,5,4,4,4,4,4,3.5,4,2,3,"2 (1,5)",2,1.75,2,7,6,0.5,1,6,5,19,19
2ac,1.5,1,0,0,1,0,0,0,2.5,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,2,1,1.5,1,4,4,0,0,1.5,1,8,8
2ac,0,0,0,0,2,1,0,0,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
2ac,2.75,3,5,4,0.5,2,3,4,4,3,0,0,1.5,2,3.5,4,4,3,1,2,5.5,5,3.5,4,2,2,1.5,2,3,3,0,1,6,5,13,13
2ac,5,4,4,4,0,0,0,0,1.5,1,0,1,0,0,2,1,3,3,1,0,1,1,0,1,2,1,1.5,1,0,0,0,0,3.5,4,13,13
2ac,2,3,2,3,1,1,1.5,1,0 (3),0,0.5,1,0.5,1,5,4,3.5,3.5,3,3,3.5,2,0,0,1,1,0,0,3,2,0.5,1,0,0,17,17
2ac,3,2,5,3,3,4,5,4,3,4,0.5,1,2,3,6,5,2,3,2,3,4,4,5,4,2,2,3,3,3,4,0,1,2.5,3,18,18
