2ag,5,5,5,4,3,2,6,5,4,3,2,2,5,5,6,6,2,4,3,5,4,4,2,1,2,2,3,3,5,4,2,2,6,6,19,19
2ag,0,0,0,0,0,0,0,0,2,1,0.5,2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,10,10
2ag,4,5,2,1,1,1,0,0,1.5,2,0,2,2,0,2,2,3.5,3,4,4,2,2,3,2,1,1,0.5,0,0,0,0,0,0,0,12,12
2ag,5,5,3,3,3,2,0.5,2,2,3,2,2,3,2,2,3,4,4,5,5,3,2,4,3,2,2,3,3,4,4,2,2,4.5,2,17,16
2ag,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1.5,0,2,0,0,0,0,0,10,11
2ag,5,5,3,2,2,2,1,0,3,2,0,0,0,0,3,2,1,1,4,4,3,2,2,1,2,2,3,2,1,1,,0,1.5,1,13,13
2ag,1,0,1,0,2,0,0,0,2,1,0,0,3,2,0,0,0,1,0,0,0.5,0,0,0,1.5,1,1,0,0,0,0,0,0,0,7,7
2ag,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0.5,1,2,0,2,0,0,0,0,0,9,9
2ag,5,5,5,5,3,3,7,6,3,3,1,2,6,4,7,6,4,4,5,5,5,5,5,5,2,2,3,3,3,4,2,2,6,6,17,17
2ag,5,5,5,3,3,2,4,5,2.5,2,0,1,1,3,4,5,4,3,5,5,4,4,5,5,2,2,3,3,7,5,2,0,5,6,20,20
2ag,5,5,5,4,3,3,7,6,3.5,4,0.5,2,6,4,8,6,4,4,5,5,6,5,5,5,2,4,3,3,6,5,2,3,6,5,18,18
2ag,5,5,3,2,3,2,1,1,3.5,3,0.5,1,2,2,3,2,3,4,3,3,1,0,1,0,2,2,0,0,0,0,2,2,4.5,4,13,13
2ag,5,5,5,4,3,3,5,5,2,3,1.5,2,4,4,4,6,4,4,5,5,6,5,5,3,2,2,2,3,3,3,2,2,6,4,19,19
2ag,3,2,2,2,2,1,3,0,1,1,0,1,,0,3,2,2,2,1,1,1,0,,0,1.5,1,1.5,1,1,0,0,0,6,4,9,10
2ag,0.5,1,1,1,0.5,0,1,0,2,2,,0,,0,1,0,0,3,2,1,1,0,,,1,1,1.5,1,3,1,0,0,0,0,8,8
2ag,2.5,2,2,2,2,1,2,2,3.5,4,1,1,0,0,2,1,1,2,3,3,1,0,0,0,1.5,1,1,1,1,0,0,0,3,0,10,10
