2be,1,1,0,1,1,2,2,3,2,2.5,1,0,1,0,0,1,0.5,1,1,2,1,1,0,0,1.5,1.5,1.5,1.5,1,2,0,0,1,3,13,13
2be,5,5,5,4,2,3,2,4.5,1,1,0,1,0,2,1,4,4,4,1.5,2.5,2,2,1,0,1.5,1.5,1.5,1.5,2,3,0,0,5,5.5,16,16
2be,4,4,2,3.5,1,2.5,0,0,2,3.5,1,0,0,0,2,3.5,0,0,1,2,0,2.5,0,0,2,2,1.5,1.5,0,0,0,0,0,0,8,8
2be,4.5,4.5,2,4,1,2,1,2,4,3,0,0,0,0,0,2,0,0,1,1.5,0,2.5,0,0,1,1,1.5,1.5,0,2,0,0,0,0.75,11,11
2be,5,5,4,4,2,2,5,4,4,4,1.5,1,2,2,4,4,4,4,3,3,4,4,3,3,2,2,1.5,1.5,5,3,0,0,0,0,16,16
2be,4.5,4.5,5,4.5,2,3,0,1,4,2,0,0,3,4,0,1,4,2,3,5,3,4,0,0,2,2,1.5,1.5,0,0,0,0,0,0,16,16
2be,4,4,2,1.5,0,1.5,1,1,0,2,1,0,0,0,0,0,1,1,1,1.5,0,1,0,0,2,2,2,1.5,0,0,0,0,3,3,9,9
2be,5,5,5,4,1.5,3,3,5,4,3.5,1,1,2,2.5,4,3,4,4,2,4,2,3.5,2,2.5,2,1.5,3,3,4,4.5,2,2,4,5,19,19
2be,5,5,5,4,3,3,7,6,4,4,1,0,3,3,6,7,4,4,4,4.5,5,5,4,5,2,1.5,3,3,7,7,2,2,5,5,18,18
2be,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
2be,5,5,4,3.5,1.5,2.5,1,2,4,4,0,0,1,2,2,6,4,4,3,2,2,3,0.5,2.5,1.5,1.5,1.5,1.5,1,1,0,0,2,3,10,10
2be,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
2be,5,5,5,5,2,2,5,6,3,2,0,1,3,3,6,6.5,2,2,2,2.5,5,5.5,0,0,2,2,3,1.5,5,3.5,2,2,3,3,18,18
2be,5,5,5,5,3,3,3,3,4,4,1,0,2,3,4,5,4,4,3,5,3,3,4,5,2,2,3,3,2,3,1,1,5,5.25,16,16
2be,1,1,2,5,0,0.5,0,1,0,0,1,0,2,2,0,1,0.5,0.5,2,3,0,1.5,0,0,1,1,1.5,1.5,0,0.5,0,0,0,0,10,10
2be,5,5,5,4,1.5,1.5,1,0,3.5,3.5,1,1.5,3,3,3,3,3.5,3.5,3,4,2,3,2,3.5,2,2,1.5,1.5,2,3.5,1,0,2,3,15,15
