2de,1.5,1.5,0,0,0,0,0,0,0.5,1.5,0,0,0,0,2,0.5,0,0,1,1,0,1.5,0,0,0,0,0,0,0.5,0,0,0,0,0,7,7
2de,1,1,2,2,3,3,1,0,0,0.5,1,0.5,1,0,0,0,0,0,1,1,0,1,0,0,0.5,0.5,1.5,1.5,1.5,2,0,0,0,0,8,8
2de,4.5,4.5,5,5,2,1,4.5,5,4,3.5,1,0,2,2,5,4,4,4,3,2,2.5,3.5,2,3,2,2,2.5,1.5,1,1,0,0,3.5,3,19,19
2de,4.5,4.5,4,4,1,1.5,2,2,1.5,4,0,0,1,2,6,5,3.5,3.5,4.5,4,3.5,3,3,4,0.5,0.5,3,3,3,5,0,0,5.5,5.5,17,17
2de,3.5,3.5,1,0,2,2.5,0,0,2,2,0,0,5,4,8,8,4,4,3,5,4.5,6,1.5,3,1.5,1.5,1.5,1.5,4,4,1.5,1.5,5.5,6,14,14
2de,5,5,4.5,5,1.5,2,0,0,3.5,3.5,0,0,4,4,6,5,3.5,3.5,4,5,3,5,2,4.5,1.5,1.5,2.5,1.5,1,2,0,0,4,4.5,17,17
2de,0,0,0,0,1,0,0,0,0,2,1,0,1,1,0,0,1,1,0,2,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,6,6
2de,5,5,3.5,3.5,2.5,2.5,0.5,1,3.5,2,0,0,0,0,6,6,3,3.5,2.5,5,3,4.5,0,0,2,2,3,3,1,0,0,0,3.5,3,15,15
2de,4.5,4.5,3.5,3.5,2.5,2.5,0.5,0,3.5,3.5,1,2,0,0,4,5,0,0,0.5,1.5,0,1.5,0,0,2,2,3,3,3.5,3.5,0,0,2,1.5,5,5
2de,5,5,4.5,5,2.5,2.5,5.5,2,4,3,0,0,2,2.5,6,3,4,4,4,3.5,5.5,3,5,3.5,2,2,2.5,1.5,3,2,2,2,3,5,14,14
2de,4,4,4,4.5,3,3,0,0,3.5,3.5,0,0,1.5,4,7,5,2,4,0,1,0.5,2.5,0,0,1.5,1.5,2.5,1.5,2,1,0,0,2,2.5,18,18
2de,4,4,3,3.5,3,3,0.5,1.5,2.5,4,0,0,0,0,4,2,2.5,2.5,2,2,4,3.5,1,0,1.5,1,1.5,1.5,0,0.5,0,0,5,4.5,13,13
2de,5,5,3.5,4,1.5,2,0,1,2,2,0,0,1,1,3,3,0,0,1.5,1.5,0.5,1,0,0,0,0.5,3,1.5,2.5,3,0,0,4.5,4.5,12,12
2de,5,5,3,4,3,3,1,1,4,4,1,0,4.5,2,6,5,4,4,4,5,2.5,3.5,0,1,2,2,2.5,1.5,2.5,2,0,0,0,0,16,16
2de,4.5,4.5,4,4,3,3,0.5,2,4,3.5,0,0,1.5,3,8,5.5,4,4,2,2,2.5,2,0,0,2,2,2.5,1.5,5.5,2,0,1,4,4,16,16
2de,3,3,3.5,3,0,0.5,0,1.5,2.5,3,0,0,2,2.5,0,0,3,3,2,3.5,0.5,0.5,0,0,2,2,1.5,2,0,0,0,0,0,0,15,15
